State,District,Most AQI Reached,Current AQI,Major Source of Pollution
Madhya Pradesh,Rajgarh,236,122,Vehicle
Madhya Pradesh,Rajgarh (Area 1),129,44,Crop Burning
Madhya Pradesh,Rajgarh (Area 2),251,180,Industrial Emissions
Madhya Pradesh,Rajgarh (Area 3),220,169,Crop Burning
Madhya Pradesh,Rajgarh (Area 4),308,48,Domestic Fuel
Madhya Pradesh,Rajgarh (Area 5),222,158,Crop Burning
Madhya Pradesh,Rajgarh (Area 6),256,190,Vehicle
Madhya Pradesh,Ratlam,289,146,Crop Burning
Madhya Pradesh,Ratlam (Area 1),197,84,Road Dust
Madhya Pradesh,Ratlam (Area 2),315,142,Domestic Fuel
Madhya Pradesh,Ratlam (Area 3),137,35,Road Dust
Madhya Pradesh,Ratlam (Area 4),214,117,Road Dust
Madhya Pradesh,Ratlam (Area 5),120,75,Domestic Fuel
Madhya Pradesh,Ratlam (Area 6),99,95,Road Dust
Madhya Pradesh,Rewa,142,44,Crop Burning
Madhya Pradesh,Rewa (Area 1),193,98,Domestic Fuel
Madhya Pradesh,Rewa (Area 2),234,122,Industrial Emissions
Madhya Pradesh,Rewa (Area 3),291,130,Waste Burning
Madhya Pradesh,Rewa (Area 4),167,57,Crop Burning
Madhya Pradesh,Rewa (Area 5),160,79,Waste Burning
Madhya Pradesh,Rewa (Area 6),240,66,Crop Burning
Madhya Pradesh,Sagar,237,179,Domestic Fuel
Madhya Pradesh,Sagar (Area 1),299,157,Vehicle
Madhya Pradesh,Sagar (Area 2),230,71,Road Dust
Madhya Pradesh,Sagar (Area 3),194,154,Waste Burning
Madhya Pradesh,Sagar (Area 4),195,186,Road Dust
Madhya Pradesh,Sagar (Area 5),301,158,Industrial Emissions
Madhya Pradesh,Sagar (Area 6),253,63,Crop Burning
Madhya Pradesh,Satna,243,40,Crop Burning
Madhya Pradesh,Satna (Area 1),315,101,Industrial Emissions
Madhya Pradesh,Satna (Area 2),313,190,Crop Burning
Madhya Pradesh,Satna (Area 3),307,57,Construction Dust
Madhya Pradesh,Satna (Area 4),184,150,Crop Burning
Madhya Pradesh,Satna (Area 5),118,57,Vehicle
Madhya Pradesh,Satna (Area 6),289,135,Domestic Fuel
Madhya Pradesh,Sehore,311,185,Construction Dust
Madhya Pradesh,Sehore (Area 1),261,55,Vehicle
Madhya Pradesh,Sehore (Area 2),188,44,Vehicle
Madhya Pradesh,Sehore (Area 3),198,169,Vehicle
Madhya Pradesh,Sehore (Area 4),273,136,Domestic Fuel
Madhya Pradesh,Sehore (Area 5),306,45,Road Dust
Madhya Pradesh,Sehore (Area 6),138,74,Construction Dust
Madhya Pradesh,Seoni,89,84,Domestic Fuel
Madhya Pradesh,Seoni (Area 1),297,136,Waste Burning
Madhya Pradesh,Seoni (Area 2),182,38,Industrial Emissions
Madhya Pradesh,Seoni (Area 3),147,52,Road Dust
Madhya Pradesh,Seoni (Area 4),306,128,Construction Dust
Madhya Pradesh,Seoni (Area 5),289,74,Crop Burning
Madhya Pradesh,Seoni (Area 6),232,133,Waste Burning
Madhya Pradesh,Shahdol,237,45,Waste Burning
Madhya Pradesh,Shahdol (Area 1),154,93,Construction Dust
Madhya Pradesh,Shahdol (Area 2),164,110,Domestic Fuel
Madhya Pradesh,Shahdol (Area 3),186,71,Construction Dust
Madhya Pradesh,Shahdol (Area 4),92,79,Road Dust
Madhya Pradesh,Shahdol (Area 5),220,172,Waste Burning
Madhya Pradesh,Shahdol (Area 6),280,183,Crop Burning
Madhya Pradesh,Shajapur,305,189,Construction Dust
Madhya Pradesh,Shajapur (Area 1),220,54,Vehicle
Madhya Pradesh,Shajapur (Area 2),319,76,Road Dust
Madhya Pradesh,Shajapur (Area 3),192,125,Industrial Emissions
Madhya Pradesh,Shajapur (Area 4),247,52,Industrial Emissions
Madhya Pradesh,Shajapur (Area 5),184,61,Construction Dust
Madhya Pradesh,Shajapur (Area 6),311,96,Road Dust
Madhya Pradesh,Sheopur,229,61,Domestic Fuel
Madhya Pradesh,Sheopur (Area 1),211,174,Industrial Emissions
Madhya Pradesh,Sheopur (Area 2),265,169,Construction Dust
Madhya Pradesh,Sheopur (Area 3),100,35,Construction Dust
Madhya Pradesh,Sheopur (Area 4),254,55,Domestic Fuel
Madhya Pradesh,Sheopur (Area 5),188,51,Construction Dust
Madhya Pradesh,Sheopur (Area 6),313,77,Domestic Fuel
Madhya Pradesh,Shivpuri,95,81,Vehicle
Madhya Pradesh,Shivpuri (Area 1),262,97,Industrial Emissions
Madhya Pradesh,Shivpuri (Area 2),249,106,Vehicle
Madhya Pradesh,Shivpuri (Area 3),148,133,Waste Burning
Madhya Pradesh,Shivpuri (Area 4),226,131,Industrial Emissions
Madhya Pradesh,Shivpuri (Area 5),308,128,Road Dust
Madhya Pradesh,Shivpuri (Area 6),308,153,Construction Dust
Madhya Pradesh,Sidhi,239,179,Domestic Fuel
Madhya Pradesh,Sidhi (Area 1),302,138,Crop Burning
Madhya Pradesh,Sidhi (Area 2),131,105,Construction Dust
Madhya Pradesh,Sidhi (Area 3),196,122,Crop Burning
Madhya Pradesh,Sidhi (Area 4),261,45,Vehicle
Madhya Pradesh,Sidhi (Area 5),282,158,Construction Dust
Madhya Pradesh,Sidhi (Area 6),140,112,Road Dust
Madhya Pradesh,Singrauli,181,170,Vehicle
Madhya Pradesh,Singrauli (Area 1),223,96,Crop Burning
Madhya Pradesh,Singrauli (Area 2),262,143,Crop Burning
Madhya Pradesh,Singrauli (Area 3),305,85,Domestic Fuel
Madhya Pradesh,Singrauli (Area 4),258,168,Construction Dust
Madhya Pradesh,Singrauli (Area 5),181,36,Industrial Emissions
Madhya Pradesh,Singrauli (Area 6),177,63,Domestic Fuel
Madhya Pradesh,Tikamgarh,172,136,Domestic Fuel
Madhya Pradesh,Tikamgarh (Area 1),114,87,Crop Burning
Madhya Pradesh,Tikamgarh (Area 2),177,170,Industrial Emissions
Madhya Pradesh,Tikamgarh (Area 3),119,43,Crop Burning
Madhya Pradesh,Tikamgarh (Area 4),191,164,Crop Burning
Madhya Pradesh,Tikamgarh (Area 5),251,72,Waste Burning
Madhya Pradesh,Tikamgarh (Area 6),290,65,Waste Burning
Madhya Pradesh,Ujjain,195,181,Road Dust
Madhya Pradesh,Ujjain (Area 1),312,148,Crop Burning
Madhya Pradesh,Ujjain (Area 2),274,182,Vehicle
Madhya Pradesh,Ujjain (Area 3),93,33,Vehicle
Madhya Pradesh,Ujjain (Area 4),319,178,Road Dust
Madhya Pradesh,Ujjain (Area 5),111,88,Construction Dust
Madhya Pradesh,Ujjain (Area 6),168,123,Industrial Emissions
Madhya Pradesh,Umaria,291,179,Industrial Emissions
Madhya Pradesh,Umaria (Area 1),268,45,Crop Burning
Madhya Pradesh,Umaria (Area 2),179,96,Domestic Fuel
Madhya Pradesh,Umaria (Area 3),225,154,Vehicle
Madhya Pradesh,Umaria (Area 4),277,115,Industrial Emissions
Madhya Pradesh,Umaria (Area 5),193,99,Industrial Emissions
Madhya Pradesh,Umaria (Area 6),320,174,Road Dust
Madhya Pradesh,Vidisha,283,132,Waste Burning
Madhya Pradesh,Vidisha (Area 1),108,50,Construction Dust
Madhya Pradesh,Vidisha (Area 2),209,122,Waste Burning
Madhya Pradesh,Vidisha (Area 3),160,67,Construction Dust
Madhya Pradesh,Vidisha (Area 4),265,72,Road Dust
Madhya Pradesh,Vidisha (Area 5),223,119,Road Dust
Madhya Pradesh,Vidisha (Area 6),228,121,Waste Burning
Maharashtra,Ahmednagar,103,58,Vehicle
Maharashtra,Ahmednagar (Area 1),215,183,Industrial Emissions
Maharashtra,Ahmednagar (Area 2),38,31,Waste Burning
Maharashtra,Ahmednagar (Area 3),115,61,Road Dust
Maharashtra,Ahmednagar (Area 4),278,54,Domestic Fuel
Maharashtra,Ahmednagar (Area 5),129,77,Waste Burning
Maharashtra,Ahmednagar (Area 6),109,52,Industrial Emissions
Maharashtra,Akola,262,177,Construction Dust
Maharashtra,Akola (Area 1),201,159,Crop Burning
Maharashtra,Akola (Area 2),119,69,Industrial Emissions
Maharashtra,Akola (Area 3),128,115,Domestic Fuel
Maharashtra,Akola (Area 4),272,68,Industrial Emissions
Maharashtra,Akola (Area 5),247,177,Vehicle
Maharashtra,Akola (Area 6),75,32,Crop Burning
Maharashtra,Amravati,228,82,Crop Burning
Maharashtra,Amravati (Area 1),43,41,Crop Burning
Maharashtra,Amravati (Area 2),87,36,Waste Burning
Maharashtra,Amravati (Area 3),180,84,Road Dust
Maharashtra,Amravati (Area 4),260,174,Industrial Emissions
Maharashtra,Amravati (Area 5),282,111,Waste Burning
Maharashtra,Amravati (Area 6),258,126,Waste Burning
Maharashtra,Aurangabad,233,118,Crop Burning
Maharashtra,Aurangabad (Area 1),315,102,Crop Burning
Maharashtra,Aurangabad (Area 2),183,151,Industrial Emissions
Maharashtra,Aurangabad (Area 3),185,158,Construction Dust
Maharashtra,Aurangabad (Area 4),305,180,Vehicle
Maharashtra,Aurangabad (Area 5),85,72,Construction Dust
Maharashtra,Aurangabad (Area 6),195,47,Road Dust
Maharashtra,Beed,191,134,Crop Burning
Maharashtra,Beed (Area 1),237,111,Crop Burning
Maharashtra,Beed (Area 2),202,96,Crop Burning
Maharashtra,Beed (Area 3),297,152,Industrial Emissions
Maharashtra,Beed (Area 4),159,89,Road Dust
Maharashtra,Beed (Area 5),203,63,Vehicle
Maharashtra,Beed (Area 6),237,32,Domestic Fuel
Maharashtra,Bhandara,217,64,Industrial Emissions
Maharashtra,Bhandara (Area 1),61,57,Construction Dust
Maharashtra,Bhandara (Area 2),181,52,Industrial Emissions
Maharashtra,Bhandara (Area 3),93,54,Industrial Emissions
Maharashtra,Bhandara (Area 4),305,103,Domestic Fuel
Maharashtra,Bhandara (Area 5),270,44,Waste Burning
Maharashtra,Bhandara (Area 6),319,174,Vehicle
Maharashtra,Buldhana,284,67,Domestic Fuel
Maharashtra,Buldhana (Area 1),184,184,Industrial Emissions
Maharashtra,Buldhana (Area 2),289,65,Construction Dust
Maharashtra,Buldhana (Area 3),187,137,Crop Burning
Maharashtra,Buldhana (Area 4),272,121,Domestic Fuel
Maharashtra,Buldhana (Area 5),312,134,Domestic Fuel
Maharashtra,Buldhana (Area 6),290,34,Waste Burning
Maharashtra,Chandrapur,223,114,Waste Burning
Maharashtra,Chandrapur (Area 1),99,56,Road Dust
Maharashtra,Chandrapur (Area 2),268,98,Industrial Emissions
Maharashtra,Chandrapur (Area 3),69,64,Road Dust
Maharashtra,Chandrapur (Area 4),305,85,Domestic Fuel
Maharashtra,Chandrapur (Area 5),294,131,Industrial Emissions
Maharashtra,Chandrapur (Area 6),282,181,Vehicle
Maharashtra,Dhule,311,176,Domestic Fuel
Maharashtra,Dhule (Area 1),302,110,Construction Dust
Maharashtra,Dhule (Area 2),177,176,Industrial Emissions
Maharashtra,Dhule (Area 3),207,36,Vehicle
Maharashtra,Dhule (Area 4),303,74,Vehicle
Maharashtra,Dhule (Area 5),271,134,Domestic Fuel
Maharashtra,Dhule (Area 6),224,155,Vehicle
Maharashtra,Gadchiroli,305,188,Road Dust
Maharashtra,Gadchiroli (Area 1),161,121,Construction Dust
Maharashtra,Gadchiroli (Area 2),139,75,Domestic Fuel
Maharashtra,Gadchiroli (Area 3),240,180,Crop Burning
Maharashtra,Gadchiroli (Area 4),266,190,Vehicle
Maharashtra,Gadchiroli (Area 5),269,133,Waste Burning
Maharashtra,Gadchiroli (Area 6),275,109,Vehicle
Maharashtra,Gondia,215,59,Vehicle
Maharashtra,Gondia (Area 1),80,58,Crop Burning
Maharashtra,Gondia (Area 2),255,152,Vehicle
Maharashtra,Gondia (Area 3),142,132,Industrial Emissions
Maharashtra,Gondia (Area 4),214,171,Industrial Emissions
Maharashtra,Gondia (Area 5),198,159,Construction Dust
Maharashtra,Gondia (Area 6),295,78,Industrial Emissions
Maharashtra,Hingoli,243,33,Waste Burning
Maharashtra,Hingoli (Area 1),247,91,Vehicle
Maharashtra,Hingoli (Area 2),238,53,Industrial Emissions
Maharashtra,Hingoli (Area 3),187,141,Road Dust
Maharashtra,Hingoli (Area 4),234,134,Industrial Emissions
Maharashtra,Hingoli (Area 5),219,113,Road Dust
Maharashtra,Hingoli (Area 6),253,127,Vehicle
Maharashtra,Jalgaon,268,125,Construction Dust
Maharashtra,Jalgaon (Area 1),264,107,Domestic Fuel
Maharashtra,Jalgaon (Area 2),269,188,Vehicle
Maharashtra,Jalgaon (Area 3),186,67,Industrial Emissions
Maharashtra,Jalgaon (Area 4),277,119,Vehicle
Maharashtra,Jalgaon (Area 5),190,125,Construction Dust
Maharashtra,Jalgaon (Area 6),172,72,Road Dust
Maharashtra,Jalna,260,115,Construction Dust
Maharashtra,Jalna (Area 1),312,61,Construction Dust
Maharashtra,Jalna (Area 2),291,37,Industrial Emissions
Maharashtra,Jalna (Area 3),89,46,Waste Burning
Maharashtra,Jalna (Area 4),167,51,Industrial Emissions
Maharashtra,Jalna (Area 5),282,94,Road Dust
Maharashtra,Jalna (Area 6),298,90,Vehicle
Maharashtra,Kolhapur,235,157,Crop Burning
Maharashtra,Kolhapur (Area 1),277,97,Road Dust
Maharashtra,Kolhapur (Area 2),168,145,Industrial Emissions
Maharashtra,Kolhapur (Area 3),174,159,Domestic Fuel
Maharashtra,Kolhapur (Area 4),157,121,Waste Burning
Maharashtra,Kolhapur (Area 5),84,71,Road Dust
Maharashtra,Kolhapur (Area 6),303,145,Domestic Fuel
Maharashtra,Latur,271,176,Crop Burning
Maharashtra,Latur (Area 1),128,32,Domestic Fuel
Maharashtra,Latur (Area 2),310,116,Crop Burning
Maharashtra,Latur (Area 3),181,82,Domestic Fuel
Maharashtra,Latur (Area 4),201,45,Vehicle
Maharashtra,Latur (Area 5),189,84,Domestic Fuel
Maharashtra,Latur (Area 6),67,47,Construction Dust
Maharashtra,Mumbai City,244,113,Construction Dust
Maharashtra,Mumbai City (Area 1),123,48,Vehicle
Maharashtra,Mumbai City (Area 2),243,118,Road Dust
Maharashtra,Mumbai City (Area 3),118,67,Waste Burning
Maharashtra,Mumbai City (Area 4),257,67,Vehicle
Maharashtra,Mumbai City (Area 5),107,95,Industrial Emissions
Maharashtra,Mumbai City (Area 6),197,142,Vehicle
Maharashtra,Mumbai Suburban,121,71,Crop Burning
Maharashtra,Mumbai Suburban (Area 1),245,110,Industrial Emissions
Maharashtra,Mumbai Suburban (Area 2),215,80,Industrial Emissions
Maharashtra,Mumbai Suburban (Area 3),211,154,Domestic Fuel
Maharashtra,Mumbai Suburban (Area 4),225,54,Domestic Fuel
Maharashtra,Mumbai Suburban (Area 5),311,142,Domestic Fuel
Maharashtra,Mumbai Suburban (Area 6),238,176,Vehicle
Maharashtra,Nagpur,315,107,Road Dust
Maharashtra,Nagpur (Area 1),229,119,Crop Burning
Maharashtra,Nagpur (Area 2),286,68,Waste Burning
Maharashtra,Nagpur (Area 3),302,135,Waste Burning
Maharashtra,Nagpur (Area 4),133,128,Waste Burning
Maharashtra,Nagpur (Area 5),137,116,Waste Burning
Maharashtra,Nagpur (Area 6),276,142,Construction Dust
Maharashtra,Nanded,273,129,Road Dust
Maharashtra,Nanded (Area 1),320,108,Vehicle
Maharashtra,Nanded (Area 2),112,54,Vehicle
Maharashtra,Nanded (Area 3),182,117,Construction Dust
Maharashtra,Nanded (Area 4),167,128,Construction Dust
Maharashtra,Nanded (Area 5),143,49,Road Dust
Maharashtra,Nanded (Area 6),246,141,Road Dust
Maharashtra,Nandurbar,258,178,Vehicle
Maharashtra,Nandurbar (Area 1),307,185,Construction Dust
Maharashtra,Nandurbar (Area 2),253,171,Crop Burning
Maharashtra,Nandurbar (Area 3),264,61,Road Dust
Maharashtra,Nandurbar (Area 4),115,99,Construction Dust
Maharashtra,Nandurbar (Area 5),188,160,Domestic Fuel
Maharashtra,Nandurbar (Area 6),199,118,Crop Burning
Maharashtra,Nashik,228,43,Construction Dust
Maharashtra,Nashik (Area 1),265,99,Domestic Fuel
Maharashtra,Nashik (Area 2),235,58,Vehicle
Maharashtra,Nashik (Area 3),155,69,Industrial Emissions
Maharashtra,Nashik (Area 4),283,160,Crop Burning
Maharashtra,Nashik (Area 5),164,159,Industrial Emissions
Maharashtra,Nashik (Area 6),204,113,Crop Burning
Maharashtra,Osmanabad,309,167,Road Dust
Maharashtra,Osmanabad (Area 1),149,128,Construction Dust
Maharashtra,Osmanabad (Area 2),236,109,Industrial Emissions
Maharashtra,Osmanabad (Area 3),154,98,Crop Burning
Maharashtra,Osmanabad (Area 4),295,92,Waste Burning
Maharashtra,Osmanabad (Area 5),156,156,Road Dust
Maharashtra,Osmanabad (Area 6),282,66,Vehicle
Maharashtra,Palghar,305,60,Industrial Emissions
Maharashtra,Palghar (Area 1),191,164,Crop Burning
Maharashtra,Palghar (Area 2),171,157,Domestic Fuel
Maharashtra,Palghar (Area 3),119,62,Domestic Fuel
Maharashtra,Palghar (Area 4),195,108,Domestic Fuel
Maharashtra,Palghar (Area 5),221,83,Waste Burning
Maharashtra,Palghar (Area 6),116,63,Waste Burning
Maharashtra,Parbhani,135,112,Road Dust
Maharashtra,Parbhani (Area 1),203,167,Industrial Emissions
Maharashtra,Parbhani (Area 2),148,95,Domestic Fuel
Maharashtra,Parbhani (Area 3),257,158,Waste Burning
Maharashtra,Parbhani (Area 4),137,93,Domestic Fuel
Maharashtra,Parbhani (Area 5),166,149,Waste Burning
Maharashtra,Parbhani (Area 6),156,138,Waste Burning
Maharashtra,Pune,105,92,Construction Dust
Maharashtra,Pune (Area 1),239,77,Domestic Fuel
Maharashtra,Pune (Area 2),242,75,Construction Dust
Maharashtra,Pune (Area 3),158,75,Construction Dust
Maharashtra,Pune (Area 4),90,77,Industrial Emissions
Maharashtra,Pune (Area 5),186,97,Crop Burning
Maharashtra,Pune (Area 6),275,136,Road Dust
Maharashtra,Raigad,244,156,Vehicle
Maharashtra,Raigad (Area 1),168,60,Vehicle
Maharashtra,Raigad (Area 2),205,178,Industrial Emissions
Maharashtra,Raigad (Area 3),258,140,Construction Dust
Maharashtra,Raigad (Area 4),108,38,Waste Burning
Maharashtra,Raigad (Area 5),138,76,Road Dust
Maharashtra,Raigad (Area 6),231,129,Vehicle
Maharashtra,Ratnagiri,295,144,Crop Burning
Maharashtra,Ratnagiri (Area 1),278,95,Domestic Fuel
Maharashtra,Ratnagiri (Area 2),200,178,Domestic Fuel
Maharashtra,Ratnagiri (Area 3),140,52,Waste Burning
Maharashtra,Ratnagiri (Area 4),93,44,Crop Burning
Maharashtra,Ratnagiri (Area 5),231,149,Industrial Emissions
Maharashtra,Ratnagiri (Area 6),234,108,Road Dust
Maharashtra,Sangli,244,60,Road Dust
Maharashtra,Sangli (Area 1),320,175,Domestic Fuel
Maharashtra,Sangli (Area 2),80,47,Domestic Fuel
Maharashtra,Sangli (Area 3),268,68,Crop Burning
Maharashtra,Sangli (Area 4),299,116,Industrial Emissions
Maharashtra,Sangli (Area 5),135,68,Construction Dust
Maharashtra,Sangli (Area 6),280,129,Crop Burning
Maharashtra,Satara,147,123,Road Dust
Maharashtra,Satara (Area 1),285,155,Waste Burning
Maharashtra,Satara (Area 2),180,88,Vehicle
Maharashtra,Satara (Area 3),161,126,Waste Burning
Maharashtra,Satara (Area 4),172,137,Waste Burning
Maharashtra,Satara (Area 5),238,148,Vehicle
Maharashtra,Satara (Area 6),182,100,Domestic Fuel
Maharashtra,Sindhudurg,305,88,Road Dust
Maharashtra,Sindhudurg (Area 1),236,149,Construction Dust
Maharashtra,Sindhudurg (Area 2),198,70,Construction Dust
Maharashtra,Sindhudurg (Area 3),149,119,Crop Burning
Maharashtra,Sindhudurg (Area 4),178,104,Vehicle
Maharashtra,Sindhudurg (Area 5),131,32,Crop Burning
Maharashtra,Sindhudurg (Area 6),99,87,Construction Dust
Maharashtra,Solapur,279,179,Waste Burning
Maharashtra,Solapur (Area 1),220,79,Vehicle
Maharashtra,Solapur (Area 2),298,78,Waste Burning
Maharashtra,Solapur (Area 3),141,70,Waste Burning
Maharashtra,Solapur (Area 4),183,53,Domestic Fuel
Maharashtra,Solapur (Area 5),310,126,Industrial Emissions
Maharashtra,Solapur (Area 6),189,146,Industrial Emissions
Maharashtra,Thane,193,130,Vehicle
Maharashtra,Thane (Area 1),313,158,Waste Burning
Maharashtra,Thane (Area 2),195,181,Industrial Emissions
Maharashtra,Thane (Area 3),257,81,Domestic Fuel
Maharashtra,Thane (Area 4),210,30,Vehicle
Maharashtra,Thane (Area 5),212,162,Domestic Fuel
Maharashtra,Thane (Area 6),195,126,Industrial Emissions
Maharashtra,Wardha,201,175,Crop Burning
Maharashtra,Wardha (Area 1),259,86,Crop Burning
Maharashtra,Wardha (Area 2),119,32,Vehicle
Maharashtra,Wardha (Area 3),243,121,Domestic Fuel
Maharashtra,Wardha (Area 4),247,127,Waste Burning
Maharashtra,Wardha (Area 5),188,37,Domestic Fuel
Maharashtra,Wardha (Area 6),171,170,Domestic Fuel
Maharashtra,Washim,180,129,Domestic Fuel
Maharashtra,Washim (Area 1),216,125,Crop Burning
Maharashtra,Washim (Area 2),304,186,Industrial Emissions
Maharashtra,Washim (Area 3),209,91,Waste Burning
Maharashtra,Washim (Area 4),298,178,Crop Burning
Maharashtra,Washim (Area 5),217,184,Domestic Fuel
Maharashtra,Washim (Area 6),159,84,Construction Dust
Maharashtra,Yavatmal,132,53,Vehicle
Maharashtra,Yavatmal (Area 1),261,186,Domestic Fuel
Maharashtra,Yavatmal (Area 2),241,167,Industrial Emissions
Maharashtra,Yavatmal (Area 3),169,167,Road Dust
Maharashtra,Yavatmal (Area 4),62,54,Domestic Fuel
Maharashtra,Yavatmal (Area 5),77,31,Vehicle
Maharashtra,Yavatmal (Area 6),291,171,Road Dust
Manipur,Bishnupur,124,57,Domestic Fuel
Manipur,Bishnupur (Area 1),298,57,Vehicle
Manipur,Bishnupur (Area 2),202,122,Vehicle
Manipur,Bishnupur (Area 3),210,91,Industrial Emissions
Manipur,Bishnupur (Area 4),176,124,Crop Burning
Manipur,Bishnupur (Area 5),188,91,Construction Dust
Manipur,Bishnupur (Area 6),214,184,Waste Burning
Manipur,Chandel,179,113,Domestic Fuel
Manipur,Chandel (Area 1),214,185,Construction Dust
Manipur,Chandel (Area 2),258,108,Construction Dust
Manipur,Chandel (Area 3),207,133,Domestic Fuel
Manipur,Chandel (Area 4),170,68,Vehicle
Manipur,Chandel (Area 5),285,69,Industrial Emissions
Manipur,Chandel (Area 6),240,43,Waste Burning
Manipur,Churachandpur,296,175,Vehicle
Manipur,Churachandpur (Area 1),286,150,Waste Burning
Manipur,Churachandpur (Area 2),298,138,Road Dust
Manipur,Churachandpur (Area 3),295,70,Industrial Emissions
Manipur,Churachandpur (Area 4),276,46,Construction Dust
Manipur,Churachandpur (Area 5),214,46,Road Dust
Manipur,Churachandpur (Area 6),246,81,Vehicle
Manipur,Imphal East,257,31,Road Dust
Manipur,Imphal East (Area 1),105,90,Waste Burning
Manipur,Imphal East (Area 2),183,126,Industrial Emissions
Manipur,Imphal East (Area 3),221,64,Waste Burning
Manipur,Imphal East (Area 4),169,69,Road Dust
Manipur,Imphal East (Area 5),256,44,Domestic Fuel
Manipur,Imphal East (Area 6),314,145,Crop Burning
Manipur,Imphal West,173,142,Domestic Fuel
Manipur,Imphal West (Area 1),290,166,Vehicle
Manipur,Imphal West (Area 2),150,68,Industrial Emissions
Manipur,Imphal West (Area 3),220,102,Road Dust
Manipur,Imphal West (Area 4),230,173,Crop Burning
Manipur,Imphal West (Area 5),306,87,Domestic Fuel
Manipur,Imphal West (Area 6),157,129,Vehicle
Manipur,Jiribam,232,140,Domestic Fuel
Manipur,Jiribam (Area 1),229,187,Crop Burning
Manipur,Jiribam (Area 2),311,140,Crop Burning
Manipur,Jiribam (Area 3),213,51,Domestic Fuel
Manipur,Jiribam (Area 4),156,135,Construction Dust
Manipur,Jiribam (Area 5),260,189,Industrial Emissions
Manipur,Jiribam (Area 6),235,134,Waste Burning
Manipur,Kakching,122,117,Construction Dust
Manipur,Kakching (Area 1),308,35,Domestic Fuel
Manipur,Kakching (Area 2),234,115,Domestic Fuel
Manipur,Kakching (Area 3),215,37,Road Dust
Manipur,Kakching (Area 4),232,108,Road Dust
Manipur,Kakching (Area 5),263,135,Crop Burning
Manipur,Kakching (Area 6),192,57,Vehicle
Manipur,Kamjong,262,189,Domestic Fuel
Manipur,Kamjong (Area 1),316,131,Domestic Fuel
Manipur,Kamjong (Area 2),131,96,Waste Burning
Manipur,Kamjong (Area 3),237,156,Crop Burning
Manipur,Kamjong (Area 4),168,96,Industrial Emissions
Manipur,Kamjong (Area 5),199,114,Industrial Emissions
Manipur,Kamjong (Area 6),307,92,Construction Dust
Manipur,Kangpokpi,242,132,Domestic Fuel
Manipur,Kangpokpi (Area 1),257,122,Vehicle
Manipur,Kangpokpi (Area 2),192,131,Crop Burning
Manipur,Kangpokpi (Area 3),294,188,Construction Dust
Manipur,Kangpokpi (Area 4),273,70,Industrial Emissions
Manipur,Kangpokpi (Area 5),242,117,Vehicle
Manipur,Kangpokpi (Area 6),246,176,Waste Burning
Manipur,Noney,211,150,Waste Burning
Manipur,Noney (Area 1),178,151,Vehicle
Manipur,Noney (Area 2),182,174,Industrial Emissions
Manipur,Noney (Area 3),315,144,Vehicle
Manipur,Noney (Area 4),219,123,Road Dust
Manipur,Noney (Area 5),234,130,Crop Burning
Manipur,Noney (Area 6),253,180,Industrial Emissions
Manipur,Pherzawl,299,91,Construction Dust
Manipur,Pherzawl (Area 1),155,94,Construction Dust
Manipur,Pherzawl (Area 2),40,40,Domestic Fuel
Manipur,Pherzawl (Area 3),317,37,Road Dust
Manipur,Pherzawl (Area 4),244,63,Domestic Fuel
Manipur,Pherzawl (Area 5),319,151,Industrial Emissions
Manipur,Pherzawl (Area 6),236,142,Industrial Emissions
Manipur,Senapati,118,116,Waste Burning
Manipur,Senapati (Area 1),54,43,Industrial Emissions
Manipur,Senapati (Area 2),195,177,Road Dust
Manipur,Senapati (Area 3),199,70,Industrial Emissions
Manipur,Senapati (Area 4),194,102,Vehicle
Manipur,Senapati (Area 5),313,168,Crop Burning
Manipur,Senapati (Area 6),239,148,Construction Dust
Manipur,Tamenglong,190,146,Industrial Emissions
Manipur,Tamenglong (Area 1),290,148,Industrial Emissions
Manipur,Tamenglong (Area 2),217,32,Crop Burning
Manipur,Tamenglong (Area 3),292,158,Crop Burning
Manipur,Tamenglong (Area 4),170,82,Vehicle
Manipur,Tamenglong (Area 5),290,171,Construction Dust
Manipur,Tamenglong (Area 6),94,90,Construction Dust
Manipur,Tengnoupal,203,186,Road Dust
Manipur,Tengnoupal (Area 1),183,87,Crop Burning
Manipur,Tengnoupal (Area 2),200,91,Industrial Emissions
Manipur,Tengnoupal (Area 3),241,137,Crop Burning
Manipur,Tengnoupal (Area 4),168,92,Waste Burning
Manipur,Tengnoupal (Area 5),308,173,Industrial Emissions
Manipur,Tengnoupal (Area 6),74,48,Waste Burning
Manipur,Thoubal,188,109,Domestic Fuel
Manipur,Thoubal (Area 1),179,113,Vehicle
Manipur,Thoubal (Area 2),319,129,Vehicle
Manipur,Thoubal (Area 3),287,140,Construction Dust
Manipur,Thoubal (Area 4),276,173,Vehicle
Manipur,Thoubal (Area 5),245,177,Construction Dust
Manipur,Thoubal (Area 6),128,68,Domestic Fuel
Manipur,Ukhrul,292,39,Vehicle
Manipur,Ukhrul (Area 1),144,75,Crop Burning
Manipur,Ukhrul (Area 2),199,131,Crop Burning
Manipur,Ukhrul (Area 3),274,95,Domestic Fuel
Manipur,Ukhrul (Area 4),193,31,Vehicle
Manipur,Ukhrul (Area 5),231,190,Domestic Fuel
Manipur,Ukhrul (Area 6),315,122,Construction Dust
Meghalaya,East Garo Hills,206,57,Vehicle
